Property_ID,Property_Type,Location,Date,Rent_Received,Additional_Income,Property_Management_Fees,Utilities,Strata_Fees,Routine_Maintenance,Capital_Improvements,Council_Rates,Pest_Control,Cleaning_Costs,Other_Miscellaneous_Costs,Vacancy_Status,Net_Income
1,Apartment,Bondi,2021-01-01,4612.0,0,230.60000000000002,358,300,,,300,0,0,,0,3423.4
1,Apartment,Bondi,2021-02-01,4612.0,0,230.60000000000002,229,300,,,300,0,113,,0,3439.4
1,Apartment,Bondi,2021-03-01,4612.0,0,230.60000000000002,252,300,,,300,209,0,,0,3320.4
1,Apartment,Bondi,2021-04-01,4612.0,0,230.60000000000002,301,300,119.0,,300,0,121,,0,3240.4
1,Apartment,Bondi,2021-05-01,4612.0,246,230.60000000000002,298,300,,,300,0,0,,0,3729.4
1,Apartment,Bondi,2021-06-01,4612.0,0,230.60000000000002,252,300,,,300,0,172,237.0,0,3120.4
1,Apartment,Bondi,2021-07-01,4612.0,216,230.60000000000002,429,300,135.0,,300,0,0,,0,3433.4
1,Apartment,Bondi,2021-08-01,4612.0,92,230.60000000000002,296,300,250.0,,300,0,0,,0,3327.4
1,Apartment,Bondi,2021-09-01,4612.0,0,230.60000000000002,247,300,,,300,284,0,,0,3250.4
1,Apartment,Bondi,2021-10-01,4612.0,0,230.60000000000002,399,300,314.0,,300,0,0,,0,3068.4
1,Apartment,Bondi,2021-11-01,4612.0,0,230.60000000000002,302,300,415.0,,300,0,193,,0,2871.4
1,Apartment,Bondi,2021-12-01,4612.0,154,230.60000000000002,295,300,380.0,,300,0,0,,0,3260.4
1,Apartment,Bondi,2022-01-01,4750.36,0,237.518,382,300,,,300,0,0,174.0,0,3356.8419999999996
1,Apartment,Bondi,2022-02-01,4750.36,59,237.518,251,300,,,300,0,0,393.0,0,3327.8419999999996
1,Apartment,Bondi,2022-03-01,4750.36,213,237.518,227,300,,,300,198,0,,0,3700.8419999999996
1,Apartment,Bondi,2022-04-01,4750.36,164,237.518,395,300,,,300,0,0,,0,3681.8419999999996
1,Apartment,Bondi,2022-05-01,4750.36,233,237.518,276,300,,,300,0,182,,0,3687.8419999999996
1,Apartment,Bondi,2022-06-01,4750.36,90,237.518,288,300,,,300,0,0,348.0,0,3366.8419999999996
1,Apartment,Bondi,2022-07-01,4750.36,210,237.518,412,300,,,300,0,0,,0,3710.8419999999996
1,Apartment,Bondi,2022-08-01,4750.36,0,237.518,249,300,189.0,,300,0,0,,0,3474.8419999999996
1,Apartment,Bondi,2022-09-01,4750.36,0,237.518,276,300,,,300,232,0,270.0,0,3134.8419999999996
1,Apartment,Bondi,2022-10-01,4750.36,0,237.518,312,300,451.0,,300,0,0,330.0,0,2819.8419999999996
1,Apartment,Bondi,2022-11-01,4750.36,0,237.518,289,300,,,300,0,171,242.0,0,3210.8419999999996
1,Apartment,Bondi,2022-12-01,4750.36,142,237.518,236,300,201.0,,300,0,117,,0,3500.8419999999996
1,Apartment,Bondi,2023-01-01,4888.72,0,244.43600000000004,496,300,,,300,0,0,,0,3548.284
1,Apartment,Bondi,2023-02-01,4888.72,81,244.43600000000004,237,300,,,300,0,0,,0,3888.284
1,Apartment,Bondi,2023-03-01,4888.72,271,244.43600000000004,213,300,,,300,113,191,,0,3798.284
1,Apartment,Bondi,2023-04-01,4888.72,90,244.43600000000004,360,300,,,300,0,0,185.0,0,3589.284
1,Apartment,Bondi,2023-05-01,4888.72,72,244.43600000000004,323,300,,,300,0,0,,0,3793.284
1,Apartment,Bondi,2023-06-01,4888.72,228,244.43600000000004,255,300,407.0,2945.0,300,0,0,237.0,0,428.28400000000056
1,Apartment,Bondi,2023-07-01,4888.72,0,244.43600000000004,397,300,,,300,0,137,,0,3510.284
1,Apartment,Bondi,2023-08-01,4888.72,0,244.43600000000004,286,300,494.0,,300,0,0,,0,3264.284
1,Apartment,Bondi,2023-09-01,4888.72,256,244.43600000000004,299,300,250.0,,300,168,0,297.0,0,3286.284
1,Apartment,Bondi,2023-10-01,4888.72,211,244.43600000000004,431,300,408.0,,300,0,0,,0,3416.284
1,Apartment,Bondi,2023-11-01,4888.72,0,244.43600000000004,309,300,,,300,0,0,382.0,0,3353.284
1,Apartment,Bondi,2023-12-01,4888.72,0,244.43600000000004,290,300,382.0,,300,0,0,292.0,0,3080.284
2,House,Coogee,2021-01-01,4692.0,0,234.60000000000002,322,306,,,300,0,0,,0,3529.4
2,House,Coogee,2021-02-01,4692.0,256,234.60000000000002,328,329,,,300,0,0,,0,3756.4
2,House,Coogee,2021-03-01,0.0,161,0.0,283,204,233.0,,300,158,0,,1,-1017.0
2,House,Coogee,2021-04-01,4692.0,186,234.60000000000002,431,307,171.0,,300,0,0,360.0,0,3074.4
2,House,Coogee,2021-05-01,4692.0,0,234.60000000000002,263,282,,,300,0,196,345.0,0,3071.4
2,House,Coogee,2021-06-01,4692.0,0,234.60000000000002,284,275,,,300,0,137,,0,3461.4
2,House,Coogee,2021-07-01,4692.0,59,234.60000000000002,369,311,,,300,0,160,322.0,0,3054.4
2,House,Coogee,2021-08-01,4692.0,237,234.60000000000002,312,351,191.0,,300,0,101,,0,3439.4
2,House,Coogee,2021-09-01,4692.0,272,234.60000000000002,266,212,,,300,160,0,245.0,0,3546.4
2,House,Coogee,2021-10-01,4692.0,44,234.60000000000002,355,233,,2243.0,300,0,0,146.0,0,1224.4
2,House,Coogee,2021-11-01,4692.0,56,234.60000000000002,290,319,,,300,0,0,,0,3604.4
2,House,Coogee,2021-12-01,4692.0,0,234.60000000000002,300,276,,,300,0,0,,0,3581.4
2,House,Coogee,2022-01-01,4832.76,38,241.63800000000003,384,245,,,300,0,0,,0,3700.1220000000003
2,House,Coogee,2022-02-01,4832.76,0,241.63800000000003,291,309,,,300,0,160,365.0,0,3166.1220000000003
2,House,Coogee,2022-03-01,4832.76,180,241.63800000000003,294,269,,,300,142,0,,0,3766.1220000000003
2,House,Coogee,2022-04-01,4832.76,0,241.63800000000003,374,264,144.0,,300,0,0,392.0,0,3117.1220000000003
2,House,Coogee,2022-05-01,4832.76,223,241.63800000000003,306,244,411.0,,300,0,0,,0,3553.1220000000003
2,House,Coogee,2022-06-01,4832.76,176,241.63800000000003,290,327,,,300,0,151,246.0,0,3453.1220000000003
2,House,Coogee,2022-07-01,4832.76,0,241.63800000000003,354,333,,,300,0,190,348.0,0,3066.1220000000003
2,House,Coogee,2022-08-01,4832.76,0,241.63800000000003,284,353,,,300,0,0,103.0,0,3551.1220000000003
2,House,Coogee,2022-09-01,4832.76,0,241.63800000000003,326,347,,,300,158,0,,0,3460.1220000000003
2,House,Coogee,2022-10-01,4832.76,68,241.63800000000003,420,397,,,300,0,0,,0,3542.1220000000003
2,House,Coogee,2022-11-01,4832.76,0,241.63800000000003,237,268,,,300,0,0,261.0,0,3525.1220000000003
2,House,Coogee,2022-12-01,4832.76,289,241.63800000000003,325,347,,1342.0,300,0,0,,0,2566.1220000000003
2,House,Coogee,2023-01-01,4973.52,0,248.67600000000004,376,348,112.0,,300,0,0,103.0,0,3485.8440000000005
2,House,Coogee,2023-02-01,4973.52,0,248.67600000000004,302,383,,,300,0,181,,0,3558.8440000000005
2,House,Coogee,2023-03-01,4973.52,0,248.67600000000004,253,339,,,300,217,190,191.0,0,3234.8440000000005
2,House,Coogee,2023-04-01,0.0,193,0.0,410,329,,,300,0,143,350.0,1,-1339.0
2,House,Coogee,2023-05-01,4973.52,0,248.67600000000004,310,307,,,300,0,0,386.0,0,3421.8440000000005
2,House,Coogee,2023-06-01,4973.52,270,248.67600000000004,283,314,,,300,0,0,,0,4097.844000000001
2,House,Coogee,2023-07-01,4973.52,186,248.67600000000004,400,237,,,300,0,0,347.0,0,3626.8440000000005
2,House,Coogee,2023-08-01,4973.52,148,248.67600000000004,294,400,271.0,,300,0,0,115.0,0,3492.8440000000005
2,House,Coogee,2023-09-01,4973.52,0,248.67600000000004,247,347,,,300,195,0,,0,3635.8440000000005
2,House,Coogee,2023-10-01,4973.52,0,248.67600000000004,366,293,,,300,0,0,267.0,0,3498.8440000000005
2,House,Coogee,2023-11-01,0.0,172,0.0,285,383,128.0,,300,0,0,321.0,1,-1245.0
2,House,Coogee,2023-12-01,4973.52,0,248.67600000000004,297,348,192.0,,300,0,0,,0,3587.8440000000005
3,Apartment,Bronte,2021-01-01,3594.0,0,179.70000000000002,310,300,,,300,0,164,365.0,0,1975.3
3,Apartment,Bronte,2021-02-01,3594.0,293,179.70000000000002,329,300,367.0,,300,0,0,354.0,0,2057.3
3,Apartment,Bronte,2021-03-01,0.0,0,0.0,275,300,377.0,,300,238,0,343.0,1,-1833.0
3,Apartment,Bronte,2021-04-01,3594.0,0,179.70000000000002,395,300,236.0,,300,0,144,,0,2039.3
3,Apartment,Bronte,2021-05-01,3594.0,24,179.70000000000002,296,300,,,300,0,125,167.0,0,2250.3
3,Apartment,Bronte,2021-06-01,3594.0,144,179.70000000000002,219,300,,,300,0,186,,0,2553.3
3,Apartment,Bronte,2021-07-01,3594.0,163,179.70000000000002,406,300,336.0,,300,0,197,236.0,0,1802.3
3,Apartment,Bronte,2021-08-01,3594.0,0,179.70000000000002,215,300,,,300,0,0,,0,2599.3
3,Apartment,Bronte,2021-09-01,3594.0,0,179.70000000000002,218,300,,,300,280,0,,0,2316.3
3,Apartment,Bronte,2021-10-01,3594.0,77,179.70000000000002,292,300,,,300,0,148,,0,2451.3
3,Apartment,Bronte,2021-11-01,3594.0,0,179.70000000000002,278,300,,,300,0,127,,0,2409.3
3,Apartment,Bronte,2021-12-01,3594.0,0,179.70000000000002,310,300,392.0,,300,0,174,209.0,0,1729.3
3,Apartment,Bronte,2022-01-01,3701.82,0,185.091,348,300,,,300,0,0,,0,2568.7290000000003
3,Apartment,Bronte,2022-02-01,3701.82,6,185.091,294,300,,,300,0,0,,0,2628.7290000000003
3,Apartment,Bronte,2022-03-01,3701.82,0,185.091,300,300,,,300,246,0,,0,2370.7290000000003
3,Apartment,Bronte,2022-04-01,3701.82,0,185.091,338,300,141.0,,300,0,149,158.0,0,2130.7290000000003
3,Apartment,Bronte,2022-05-01,3701.82,0,185.091,277,300,462.0,,300,0,0,,0,2177.7290000000003
3,Apartment,Bronte,2022-06-01,0.0,0,0.0,306,300,,,300,0,183,296.0,1,-1385.0
3,Apartment,Bronte,2022-07-01,3701.82,11,185.091,274,300,450.0,,300,0,157,172.0,0,1874.7290000000003
3,Apartment,Bronte,2022-08-01,3701.82,253,185.091,277,300,439.0,,300,0,0,,0,2453.7290000000003
3,Apartment,Bronte,2022-09-01,3701.82,19,185.091,207,300,128.0,,300,164,0,381.0,0,2055.7290000000003
3,Apartment,Bronte,2022-10-01,3701.82,297,185.091,436,300,,,300,0,0,,0,2777.7290000000003
3,Apartment,Bronte,2022-11-01,3701.82,144,185.091,247,300,,,300,0,122,,0,2691.7290000000003
3,Apartment,Bronte,2022-12-01,3701.82,0,185.091,338,300,,,300,0,0,120.0,0,2458.7290000000003
3,Apartment,Bronte,2023-01-01,3809.64,74,190.482,273,300,406.0,,300,0,0,304.0,0,2110.158
3,Apartment,Bronte,2023-02-01,3809.64,41,190.482,270,300,386.0,,300,0,0,197.0,0,2207.158
3,Apartment,Bronte,2023-03-01,3809.64,228,190.482,245,300,107.0,2116.0,300,231,0,217.0,0,331.1579999999999
3,Apartment,Bronte,2023-04-01,3809.64,298,190.482,390,300,102.0,,300,0,0,277.0,0,2548.1579999999994
3,Apartment,Bronte,2023-05-01,3809.64,0,190.482,309,300,441.0,,300,0,0,,0,2269.158
3,Apartment,Bronte,2023-06-01,3809.64,294,190.482,307,300,321.0,,300,0,0,,0,2685.1579999999994
3,Apartment,Bronte,2023-07-01,3809.64,87,190.482,376,300,283.0,,300,0,0,272.0,0,2175.158
3,Apartment,Bronte,2023-08-01,0.0,57,0.0,242,300,220.0,,300,0,0,233.0,1,-1238.0
3,Apartment,Bronte,2023-09-01,3809.64,0,190.482,310,300,,,300,249,0,,0,2460.158
3,Apartment,Bronte,2023-10-01,3809.64,0,190.482,374,300,263.0,,300,0,174,,0,2208.158
3,Apartment,Bronte,2023-11-01,3809.64,0,190.482,211,300,,,300,0,149,132.0,0,2527.158
3,Apartment,Bronte,2023-12-01,3809.64,292,190.482,318,300,,,300,0,133,,0,2860.1579999999994
